posicion,tiempo,dif,nombre,club,pais,sex,cat,carrera,anio
123,124,20:36:46,00:00:00,Miguel MUNIO,N/D,N/D,M,VET-B,bluetrail,2018
124,125,20:42:01,00:00:00,Ricardo RODRIGUEZ-MORALES,N/D,N/D,M,SENIOR,bluetrail,2018
125,126,20:43:05,00:00:00,Jeronimo SANTANA-SANTANA,N/D,N/D,M,VET-B,bluetrail,2018
126,127,20:45:28,00:00:00,Gualtiero MARINGONI,N/D,N/D,M,VET-B,bluetrail,2018
127,128,20:49:20,00:00:00,Luc ALMERAS,N/D,N/D,M,SENIOR,bluetrail,2018
128,129,20:52:13,00:00:00,Myrvete ZEKAJ DULI,N/D,N/D,F,SENIOR,bluetrail,2018
129,130,21:05:38,00:00:00,Isabel SANDOVAL MIGUEL,N/D,N/D,F,VET-A,bluetrail,2018
130,131,21:05:42,00:00:00,Alberto PLAZAS-GONZALEZ,N/D,N/D,M,SENIOR,bluetrail,2018
131,132,21:06:09,00:00:00,Daniel MARTIN-MARRERO,N/D,N/D,M,SENIOR,bluetrail,2018
132,133,21:08:03,00:00:00,Luis-Roberto REY GONZALEZ,N/D,N/D,M,VET-B,bluetrail,2018
133,134,21:09:22,00:00:00,Juan-Miguel MOLINA-GONZALEZ,N/D,N/D,M,VET-C,bluetrail,2018
134,135,21:09:54,00:00:00,Arturo HERRERA DE LEON,N/D,N/D,M,VET-A,bluetrail,2018
135,136,21:09:55,00:00:00,Fernando IZQUIERDO-CRISOSTOMO,N/D,N/D,M,VET-A,bluetrail,2018
136,137,21:10:05,00:00:00,Jesus-Manuel GONZALEZ-MENDEZ,N/D,N/D,M,VET-B,bluetrail,2018
137,138,21:10:23,00:00:00,Alexandre FROISSART,N/D,N/D,M,SENIOR,bluetrail,2018
138,139,21:14:42,00:00:00,Quico HERNANDEZ FEBLES,N/D,N/D,M,VET-A,bluetrail,2018
139,140,21:16:53,00:00:00,Diego COLESAN,N/D,N/D,M,VET-A,bluetrail,2018
140,141,21:20:47,00:00:00,Eugenia CASTRO-AFONSO,N/D,N/D,F,VET-B,bluetrail,2018
141,142,21:21:30,00:00:00,Veremundo PIMIENTA MARTIN,N/D,N/D,M,VET-A,bluetrail,2018
142,143,21:21:36,00:00:00,Roberto PUYOL,N/D,N/D,M,SENIOR,bluetrail,2018
143,144,21:23:15,00:00:00,Francisco-Conrado TRUJILLO-SUAREZ,N/D,N/D,M,VET-A,bluetrail,2018
