posicion,tiempo,dif,nombre,club,pais,sex,cat,carrera,anio
92,93,16:06:29,00:00:00,Jose Miguel GARCIA DELGADO,C.D. CRESTA TRAIL TEAM ( HARIA TRAIL TEAM ),N/D,M,SENIOR,haria,2019
93,94,16:07:38,00:00:00,Jordi BAREA VALERO,GANGUREN MT,N/D,M,VET-A,haria,2019
94,95,16:07:38,00:00:00,Asier GARRETAS URIARTE,GANGUREN MT,N/D,M,SENIOR,haria,2019
95,96,16:07:38,00:00:00,Aitor ENDEMAÑO ISASI,GANGUREN MT,N/D,M,SENIOR,haria,2019
96,97,16:09:37,00:00:00,Clara DIAZ CINCUNEGUI,SAJA ACTIVA,N/D,F,SENIOR,haria,2019
97,98,16:23:20,00:00:00,Acaymo PÉREZ QUEVEDO,ARISTA,N/D,M,SENIOR,haria,2019
98,99,16:25:14,00:00:00,Cristian Enrique SÁNCHEZ BARRETO,INDEPENDIENTE,N/D,M,SENIOR,haria,2019
99,100,16:26:07,00:00:00,Carlos ROPERO DIAZ,LOS MATERNUS,N/D,M,SENIOR,haria,2019
100,101,16:27:18,00:00:00,Susanna PRIM CESPEDES,INDEPENDIENTE,N/D,F,VET-A,haria,2019
101,102,16:27:18,00:00:00,Mercedes MELLA GONZÁLEZ,CLUB ATLETISMO TALAVERA LA REAL,N/D,F,VET-A,haria,2019
102,103,16:27:19,00:00:00,Alberto ARGELAGUET ALONSO,CHATARRA'S TEAM,N/D,M,VET-A,haria,2019
103,104,16:29:06,00:00:00,Eduardo ÁLVAREZ MARTÍN,INDEPENDIENTE,N/D,M,SENIOR,haria,2019
104,105,16:31:04,00:00:00,Olegario PEREZ  GUILLEN,INDEPENDIENTE,N/D,M,VET-A,haria,2019
105,106,16:36:39,00:00:00,Alberto GUTIÉRREZ CID,INDEPENDIENTE,N/D,M,VET-A,haria,2019
106,107,16:41:06,00:00:00,Pedro Pablo POLO ZOYA,REQUIEBROS Y TROCHAS TRAIL PINTO,N/D,M,SENIOR,haria,2019
